state,abbrev,year,month,year_month,vaccination_pct
Kentucky,KY,2025,1,2025-01,36.9
Louisiana,LA,2025,1,2025-01,32.7
Maine,ME,2025,1,2025-01,48.1
Maryland,MD,2025,1,2025-01,47.2
Massachusetts,MA,2025,1,2025-01,51.7
Michigan,MI,2025,1,2025-01,38.4
Minnesota,MN,2025,1,2025-01,44.6
Mississippi,MS,2025,1,2025-01,28.4
Missouri,MO,2025,1,2025-01,38.1
Montana,MT,2025,1,2025-01,34.8
Nebraska,NE,2025,1,2025-01,40.9
Nevada,NV,2025,1,2025-01,32.0
New Hampshire,NH,2025,1,2025-01,46.9
New Jersey,NJ,2025,1,2025-01,41.6
New Mexico,NM,2025,1,2025-01,39.6
New York,NY,2025,1,2025-01,43.2
North Carolina,NC,2025,1,2025-01,41.8
North Dakota,ND,2025,1,2025-01,38.2
Ohio,OH,2025,1,2025-01,39.8
Oklahoma,OK,2025,1,2025-01,33.2
Oregon,OR,2025,1,2025-01,41.3
Pennsylvania,PA,2025,1,2025-01,41.6
Rhode Island,RI,2025,1,2025-01,49.9
South Carolina,SC,2025,1,2025-01,35.9
South Dakota,SD,2025,1,2025-01,40.3
Tennessee,TN,2025,1,2025-01,35.3
Texas,TX,2025,1,2025-01,35.4
Utah,UT,2025,1,2025-01,36.3
Vermont,VT,2025,1,2025-01,54.0
Virginia,VA,2025,1,2025-01,43.2
Washington,WA,2025,1,2025-01,43.1
West Virginia,WV,2025,1,2025-01,37.4
Wisconsin,WI,2025,1,2025-01,42.6
Wyoming,WY,2025,1,2025-01,32.5
Alabama,AL,2025,2,2025-02,34.8
Arizona,AZ,2025,2,2025-02,36.5
Arkansas,AR,2025,2,2025-02,37.9
California,CA,2025,2,2025-02,41.0
Colorado,CO,2025,2,2025-02,45.7
Connecticut,CT,2025,2,2025-02,48.0
Delaware,DE,2025,2,2025-02,46.7
Florida,FL,2025,2,2025-02,34.5
Georgia,GA,2025,2,2025-02,34.3
Idaho,ID,2025,2,2025-02,27.2
Illinois,IL,2025,2,2025-02,41.3
Indiana,IN,2025,2,2025-02,39.0
Iowa,IA,2025,2,2025-02,42.2
Kansas,KS,2025,2,2025-02,40.7
Kentucky,KY,2025,2,2025-02,39.0
Louisiana,LA,2025,2,2025-02,35.4
Maine,ME,2025,2,2025-02,50.1
Maryland,MD,2025,2,2025-02,49.5
Massachusetts,MA,2025,2,2025-02,53.7
Michigan,MI,2025,2,2025-02,40.0
Minnesota,MN,2025,2,2025-02,46.4
Mississippi,MS,2025,2,2025-02,28.6
Missouri,MO,2025,2,2025-02,39.8
Montana,MT,2025,2,2025-02,35.9
Nebraska,NE,2025,2,2025-02,42.4
Nevada,NV,2025,2,2025-02,32.8
New Hampshire,NH,2025,2,2025-02,49.0
New Jersey,NJ,2025,2,2025-02,43.4
New Mexico,NM,2025,2,2025-02,41.6
New York,NY,2025,2,2025-02,45.5
North Carolina,NC,2025,2,2025-02,44.4
North Dakota,ND,2025,2,2025-02,39.6
Ohio,OH,2025,2,2025-02,41.3
Oklahoma,OK,2025,2,2025-02,34.9
Oregon,OR,2025,2,2025-02,42.9
Pennsylvania,PA,2025,2,2025-02,43.7
Rhode Island,RI,2025,2,2025-02,51.6
South Carolina,SC,2025,2,2025-02,38.9
South Dakota,SD,2025,2,2025-02,42.0
Tennessee,TN,2025,2,2025-02,37.2
Texas,TX,2025,2,2025-02,37.0
Utah,UT,2025,2,2025-02,37.9
Vermont,VT,2025,2,2025-02,56.6
Virginia,VA,2025,2,2025-02,45.3
Washington,WA,2025,2,2025-02,45.2
West Virginia,WV,2025,2,2025-02,38.8
Wisconsin,WI,2025,2,2025-02,44.0
Wyoming,WY,2025,2,2025-02,34.3
