year_month,origin_abbrev,dest_abbrev,flight_normalized,population_origin_normalized,population_dest_normalized,distance_km,vaccination_pct,avg_temp_f,precip_in,raw_score,infection_probability,transmission_event
2024-12,AL,PA,0.005701078582434515,0.131103367048637,0.332647729988146,1311.2264025971501,39.3,31.0,3.19,4.879022536764375e-11,0.0,0
2024-12,AL,SD,0.00015408320493066256,0.131103367048637,0.023593313139755,1719.2982110795551,39.1,26.3,0.45,5.990483132669344e-13,0.0,0
2024-12,AL,TN,0.017719568567026195,0.131103367048637,0.182893717477545,356.97822996465686,32.7,42.9,5.54,1.5314726141667721e-10,0.0,0
2024-12,AL,TX,0.1551617873651772,0.131103367048637,0.782834592914759,1223.7833388597146,32.8,54.2,1.67,4.383030474797288e-09,0.0,0
2024-12,AL,VA,0.05377503852080123,0.131103367048637,0.223679066596693,942.2408136753692,40.5,38.8,2.9,3.6725968617109943e-10,0.0,0
2024-12,AR,AZ,0.011864406779661017,0.078730060441379,0.190717494970447,1764.3694894394603,31.9,47.8,0.01,6.621692792976148e-09,0.0,0
2024-12,AR,CA,0.006933744221879815,0.078730060441379,1.0,2479.5416425487065,38.8,48.4,3.74,3.134644581803839e-11,0.0,0
2024-12,AR,CO,0.034052388289676425,0.078730060441379,0.150842573781169,1322.34955484398,41.0,32.0,0.47,4.959457003255523e-10,0.0,0
2024-12,AR,FL,0.01201848998459168,0.078730060441379,0.580280097675892,1287.074599268273,29.8,60.6,1.76,1.3422174807655766e-10,0.0,0
2024-12,AR,GA,0.05685670261941449,0.078730060441379,0.283053313761336,892.026554678686,29.8,48.9,3.24,3.0084484995484117e-10,0.0,0
2024-12,AR,ID,0.0006163328197226503,0.078730060441379,0.050422591259846,2185.5559192341716,24.2,30.2,3.03,5.055384352460787e-13,0.0,0
2024-12,AR,IL,0.04822804314329738,0.078730060441379,0.322074344659348,640.548839481416,36.9,34.0,2.6,5.85282417326624e-10,0.0,0
2024-12,AR,IN,0.00015408320493066256,0.078730060441379,0.176110997320095,807.5566638945463,37.5,34.6,4.17,4.889516745306465e-13,0.0,0
2024-12,AR,KY,0.003389830508474576,0.078730060441379,0.116158901099245,736.3638469593636,34.4,40.2,5.04,6.040370441131068e-12,0.0,0
2024-12,AR,LA,0.001694915254237288,0.078730060441379,0.117380375865198,440.8750928797004,29.5,55.4,6.24,3.4837913338637245e-12,0.0,0
2024-12,AR,MI,0.004160246533127889,0.078730060441379,0.257595567408071,1143.9401679984069,36.3,27.9,2.69,2.7072703041339905e-11,0.0,0
2024-12,AR,MN,0.006779661016949152,0.078730060441379,0.147257451028152,1303.8727562650713,42.1,19.6,0.92,7.940806944561916e-11,0.0,0
2024-12,AR,MO,0.01679506933744222,0.078730060441379,0.159017716144765,307.2541548890246,35.6,37.8,2.51,2.026070783757217e-10,0.0,0
2024-12,AR,NC,0.04129429892141757,0.078730060441379,0.278081286547201,1160.979171588661,39.7,43.6,3.11,1.4465739254786944e-10,0.0,0
2024-12,AR,NE,0.00015408320493066256,0.078730060441379,0.050772980901185,991.4333644937917,38.6,33.0,0.27,1.8063421291615022e-12,0.0,0
2024-12,AR,NJ,0.00015408320493066256,0.078730060441379,0.238439496501403,1623.5785631339274,39.4,35.0,3.69,3.5011453696870004e-13,0.0,0
2024-12,AR,NV,0.0061633281972265025,0.078730060441379,0.081975110453065,2212.854617038623,29.9,37.6,0.82,1.949899025462622e-11,0.0,0
